"filename", "language", "JSON with Comments", "Ignore", "JSON", "JavaScript", "Markdown", "TypeScript", "Shell Script", "Docker", "TypeScript JSX", "HTML", "JavaScript JSX", "SCSS", "CSV", "comment", "blank", "total"
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0yjqc5uld.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0yldicuug.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0z1xzuqlx.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\settings\emailSettings.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\uploadFileProperties.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\README.md", "Markdown", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 88
"d:\original\TRACNEW2\apps\db-reset\.eslintrc.json", "JSON with Comments", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\original\TRACNEW2\apps\db-reset\jest.config.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 1, 17
"d:\original\TRACNEW2\apps\db-reset\project.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"d:\original\TRACNEW2\apps\db-reset\src\REACTJS.code-workspace", "JSON with Comments", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\original\TRACNEW2\apps\db-reset\src\app\CreateAuditTable.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"d:\original\TRACNEW2\apps\db-reset\src\app\ImportData.ts", "TypeScript", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 3, 54
"d:\original\TRACNEW2\apps\db-reset\src\app\RecreateDatabase.ts", "TypeScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 7, 62
"d:\original\TRACNEW2\apps\db-reset\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\original\TRACNEW2\apps\db-reset\src\environments\environment.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\original\TRACNEW2\apps\db-reset\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 2, 13, 144
"d:\original\TRACNEW2\apps\db-reset\tsconfig.app.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\original\TRACNEW2\apps\db-reset\tsconfig.json", "JSON with Comments", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\original\TRACNEW2\apps\db-reset\tsconfig.spec.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\original\TRACNEW2\apps\iol-extract\.eslintrc.json", "JSON with Comments", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\original\TRACNEW2\apps\iol-extract\jest.config.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 1, 17
"d:\original\TRACNEW2\apps\iol-extract\project.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"d:\original\TRACNEW2\apps\iol-extract\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 3, 42
"d:\original\TRACNEW2\apps\iol-extract\tsconfig.app.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\original\TRACNEW2\apps\iol-extract\tsconfig.json", "JSON with Comments", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\original\TRACNEW2\apps\iol-extract\tsconfig.spec.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\original\TRACNEW2\apps\pdftest\.eslintrc.json", "JSON with Comments", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\original\TRACNEW2\apps\pdftest\jest.config.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 1, 17
"d:\original\TRACNEW2\apps\pdftest\project.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"d:\original\TRACNEW2\apps\pdftest\src\app\GenerateConsignmentData.ts", "TypeScript", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"d:\original\TRACNEW2\apps\pdftest\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\original\TRACNEW2\apps\pdftest\src\environments\environment.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\original\TRACNEW2\apps\pdftest\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 3, 4, 72
"d:\original\TRACNEW2\apps\pdftest\tsconfig.app.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\original\TRACNEW2\apps\pdftest\tsconfig.json", "JSON with Comments", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\original\TRACNEW2\apps\pdftest\tsconfig.spec.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\original\TRACNEW2\apps\tedioustest\.eslintrc.json", "JSON with Comments", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\original\TRACNEW2\apps\tedioustest\jest.config.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 1, 17
"d:\original\TRACNEW2\apps\tedioustest\project.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"d:\original\TRACNEW2\apps\tedioustest\src\app\PutSqlServerData.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"d:\original\TRACNEW2\apps\tedioustest\src\app\SqlMappings.ts", "TypeScript", 0, 0, 0, 0, 0, 435, 0, 0, 0, 0, 0, 0, 0, 10, 4, 449
"d:\original\TRACNEW2\apps\tedioustest\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\original\TRACNEW2\apps\tedioustest\src\environments\environment.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\original\TRACNEW2\apps\tedioustest\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 1, 3, 111
"d:\original\TRACNEW2\apps\tedioustest\tsconfig.app.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\original\TRACNEW2\apps\tedioustest\tsconfig.json", "JSON with Comments", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
